id,token,bio_tag
1,The,O
1,aforesaid,O
1,charge-sheet,O
1,was,O
1,submitted,O
1,against,O
1,10(ten),O
1,persons,O
1,including,O
1,the,O
1,present,O
1,petitioner.,O
1,An,O
1,FIR,B-Document
1,was,O
1,filed,O
1,by,O
1,one,O
1,Smti,O
1,Hardeep,O
1,Kaur,O
1,"Sondhi,",O
1,wife,O
1,of,O
1,late,O
1,Tej,B-Person
1,Pal,I-Person
1,Singh,I-Person
1,Sondhi,I-Person
1,with,O
1,the,O
1,"Officer-In-Charge,",O
1,Dispur,B-Police Station
1,Police,I-Police Station
1,Station,I-Police Station
1,on,O
1,2.9.2008,B-Date
1,which,O
1,was,O
1,registered,O
1,as,O
1,Dispur,B-Case Number
1,P.S.Case,I-Case Number
1,No.1383/09,I-Case Number
1,under,O
1,Sections,O
1,120(B)/468/447/506/506,O
1,IPC.,O
1,It,O
1,has,O
1,been,O
1,stated,O
1,in,O
1,the,O
1,FIR,O
1,that,O
1,the,O
1,informant's,O
1,family,O
1,owned,O
1,and,O
1,possessed,O
1,a,O
1,plot,O
1,of,O
1,land,O
1,measuring,O
1,4,O
1,Bighas,O
1,covered,O
1,by,O
1,Dag,O
1,"No.209,",O
1,K,O
1,P,O
1,Patta,O
1,No.52,O
1,at,O
1,revenue,O
1,village,O
1,Rukmininagar,O
1,under,O
1,Beltola,O
1,Mouza,O
1,in,O
1,the,O
1,District,O
1,of,O
1,Kamrup(M),O
1,adjacent,O
1,to,O
1,the,O
1,Down,O
1,Town,O
1,Hospital.,O
1,From,O
1,the,O
1,aforesaid,O
1,plot,O
1,of,O
1,land,O
1,2,O
1,Bighas,O
1,2,O
1,Kathas,O
1,of,O
1,land,O
1,was,O
1,sold,O
1,to,O
1,two,O
1,different,O
1,buyers,O
1,and,O
1,the,O
1,rest,O
1,was,O
1,still,O
1,belonging,O
1,to,O
1,informant's,O
1,family.,O
1,It,O
1,is,O
1,alleged,O
1,that,O
1,taking,O
1,advantage,O
1,of,O
1,long,O
1,absence,O
1,from,O
1,Guwahati,O
1,some,O
1,miscreants,O
1,fraudulently,O
1,executed,O
1,and,O
1,registered,O
1,sale,O
1,deed,O
1,in,O
1,the,O
1,names,O
1,of,O
1,her,O
1,father-in-law,O
1,and,O
1,her,O
1,deceased,O
1,"husband,",O
1,who,O
1,was,O
1,an,O
