id,judgment,entity_text,entity_label,score
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",FIR,Document,0.9544
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",Smti Hardeep Kaur Sondhi,Person,0.9352
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",Tej Pal Singh Sondhi,Person,0.8815
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",Officer-In-Charge,Person,0.8301
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",Dispur Police Station,Police Station,0.9871
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",2.9.2008,Date,0.9869
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",Dispur P.S.Case No.1383/09,Case Number,0.5502
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",IPC,Law,0.8466
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",FIR,Document,0.9707
1,"The aforesaid charge-sheet was submitted against 10(ten) persons including the present petitioner. An FIR was filed by one Smti Hardeep Kaur Sondhi, wife of late Tej Pal Singh Sondhi with the Officer-In-Charge, Dispur Police Station on 2.9.2008 which was registered as Dispur P.S.Case No.1383/09 under Sections 120(B)/468/447/506/506 IPC. It has been stated in the FIR that the informant's family owned and possessed a plot of land measuring 4 Bighas covered by Dag No.209, K P Patta No.52 at revenue village Rukmininagar under Beltola Mouza in the District of Kamrup(M) adjacent to the Down Town Hospital. From the aforesaid plot of land 2 Bighas 2 Kathas of land was sold to two different buyers and the rest was still belonging to informant's family. It is alleged that taking advantage of long absence from Guwahati some miscreants fraudulently executed and registered sale deed in the names of her father-in-law and her deceased husband, who was an Advocate of Gauhati High Court. It is also alleged that the miscreants started construction of boundary wall without her knowledge and having come to know about it from reliable source, she went to prevent the construction works but the miscreants threatened her with dire consequences compelling her to file the FIR.",Gauhati High Court,Court,0.9739
